LONGITUDE,LATITUDE,DEPTH_m
-68.18635684,-38.89821008,2666
-68.18994206,-38.90128306,2683
-68.19065522,-38.89377766,2670
-68.19462731,-38.89299404,2657
-68.91215598,-38.98193824,1287
-68.88207677,-38.9846789,1150
-68.98901665,-39.02955,1089
-68.99574998,-39.03051667,1102
-68.94109528,-39.00849367,1070
-68.94166756,-39.00317057,1100
-68.93304159,-39.00470455,1094
-68.92766524,-39.00669006,1060
-68.9034337,-38.98893297,1054
-68.92107013,-38.98152061,1350
-68.91510322,-38.97957155,1360
-68.90831561,-38.98124988,1300
-68.90810243,-38.99911242,1068
-68.89618156,-38.98322223,1270
-68.34682875,-38.15104602,3070
-68.47646745,-38.89295182,2280
-68.52841014,-38.2283413,4005
-68.33717986,-38.16248983,3120
-68.35245421,-38.14716334,3064
-68.28584565,-38.14325805,2750
-68.508552,-38.22159681,3340
-68.50031481,-38.23027636,3360
-68.50955913,-38.22600116,3340
-69.84886294,-39.0097536,3800
-68.33717006,-38.16216,3127
-69.74114101,-38.89236344,2900
-68.34592474,-38.14875293,3070
-68.33503475,-38.15321605,2957
-68.327975,-38.16052486,3090
-68.35814577,-38.14150717,3000
-68.27543617,-38.11390377,2504
-68.26660896,-38.11772755,2490
-68.26388451,-38.12049029,2485
-68.34555386,-38.1414512,3125
-68.65147174,-38.27448565,3690
-69.44839991,-38.55689981,2999
-69.42528714,-38.55541823,2896
-69.44533408,-38.56694192,2522
-69.45686312,-38.5652073,2926
-69.43635347,-38.56092214,2726
-69.48320073,-38.54188741,3200
-68.92689804,-39.02187135,1106
-68.92464484,-39.0176357,1100
-68.91989662,-39.02316113,1070
-68.93334695,-39.00239877,1092
-68.9180929,-39.03014345,1081
-68.91316108,-39.03049593,1200
-68.90699749,-39.03327237,1098
-68.91842361,-39.02732661,1100
-68.91924245,-39.02573606,1081
-68.50030997,-38.23276471,3285
-68.48704077,-38.23737225,3380
-68.38965958,-38.13297487,3132
-68.50385973,-38.23348403,3380
-68.33448618,-38.78820997,2948
-68.49582606,-38.22407161,3341
-68.34636645,-38.15915338,3137
-68.2169723,-38.87828951,2680
-68.19107707,-38.90826741,2650
-68.22741589,-38.88035519,2619
-68.23545215,-38.87639909,2621
-68.26413984,-38.85870006,2728
-68.25677654,-38.85958024,2751
-68.26072134,-38.86314041,2652
-68.21711126,-38.90419258,2580
-68.17851437,-38.90890763,2700
-68.17520119,-38.92033625,2549
-68.18925787,-38.90980356,2710
-68.50639936,-38.23089919,3361
-68.58677271,-38.76505701,2812
-68.5133923,-38.22338623,3350
-68.39006407,-38.13069505,3164
-68.38843999,-38.12861,3020
-68.37921,-38.13451,3200
-68.34280999,-38.15642999,3110
-68.33189,-38.16443,3150
-68.34149,-38.16169,3095
-68.56182,-38.20597999,3450
-68.87174014,-39.00500424,1230
-68.86964676,-39.00933246,1200
-68.39382935,-38.12665239,3153
-68.8078024,-37.65798457,2899
-68.71949155,-38.71984328,2915
-68.37730887,-38.13807162,3160
-68.33815666,-37.72464077,2600
-68.37044119,-38.85859191,2460
-68.7686835,-38.99041804,1572
-68.81569125,-39.01321002,1234
-68.49730616,-38.22866383,3552
-68.50811724,-38.22413622,3340
-68.49889286,-38.22373835,3350
-68.50558224,-38.22495562,3330
-68.49247333,-38.22619226,3700
-68.49218619,-38.22444261,3360
-68.52387085,-38.22513026,4300
-68.50802447,-38.22872054,3350
-68.49595647,-38.23526943,3350
-68.26476203,-38.16360523,2897
-68.26630591,-38.16634112,2902
-68.34115534,-38.15298698,3103
-68.33982396,-38.15074711,3070
-68.33830706,-38.15669803,3075
-68.33826916,-38.15640197,2980
-68.33487191,-38.15787674,3070
-68.34181152,-38.15740381,3070
-68.34472207,-38.15269526,2965
-68.51195197,-38.22102025,3350
-68.50131873,-38.22850134,3350
-68.49763052,-38.23156643,3350
-68.50213884,-38.22580829,3340
-68.50494002,-38.22327306,3342
-68.49644568,-38.22176742,3340
-68.55769996,-38.21052224,3455.5
-68.62192236,-38.16104106,2946
-68.17511568,-38.90891384,2713
-68.74413517,-37.61311983,2600
-68.26174961,-38.92651304,2640
-69.65430795,-37.92057029,3252
-69.34135831,-38.55899642,3040
-68.38330579,-38.94028001,1504
-68.51099162,-38.22368323,3326
