WID,WELL_NAME,WELL_S_NAM,ELEVATION,DEPTH_m,ID_NQN,LATITUDE,LONGITUDE,F_ID,RID,Geometry_ID,OP_ID,ST_ID,FM_ID
12976,TAU.Nq.AP-314(h),AP-314(h),411.52,2926,A246,-38.28377579,-69.15259861,1,2,2,29,1,14
12977,TAU.Nq.AP-313(h),AP-313(h),400.86,2956,A246,-38.28377629,-69.15276857,1,2,2,29,1,14
12978,TAU.Nq.APN-38(h),APN-38(h),605.5,3195,A246,-38.20745098,-69.23668061,1,2,2,29,1,14
12979,TAU.Nq.APN-27(h),APN-27(h),999999,999999,A246,-38.19693005,-69.25537961,6,0,2,29,2,14
12980,TAU.Nq.APN-36,APN-36,887,1982,A246,-38.20076001,-69.39269722,1,0,0,29,1,14
12981,YPF.Nq.LRi.x-1,LRi.x-1,516.96,3020,A102,-38.42462147,-68.99123256,1,1,0,2,1,23
12982,YPF.Nq.LRi-3(h),LRi-3(h),517.19,4845,A102,-38.42503335,-68.99088937,8,1,2,2,1,23
12983,YPF.Nq.LRi-2(h)(I),LRi-2(h)(I),517.27,4889,A102,-38.42503635,-68.99120364,8,1,2,2,1,23
12984,YPF.Nq.LRi-2(h),LRi-2(h),999999,999999,A102,-38.42503888,-68.99124944,8,0,2,2,10,23
12985,TPT.Nq.FP-1031(h),FP-1031(h),567.2,3031,A092,-38.53721516,-69.09178116,8,1,2,30,1,23
12986,TPT.Nq.FP-1032(h),FP-1032(h),567.2,3026,A092,-38.53721611,-69.09170467,8,1,2,30,1,23
12987,TPT.Nq.FP-1033(h),FP-1033(h),567.2,3032,A092,-38.53721673,-69.09162841,8,1,2,30,1,23
12988,TPT.Nq.FP-1034(h),FP-1034(h),567.2,3113,A092,-38.53721639,-69.09155181,8,1,2,30,1,23
12989,PLU.Nq.LChiO.x-1,LChiO.x-1,610.77,2300,A152,-39.02118776,-69.16920382,1,2,0,9,1,16
12990,PLU.Nq.LChiO.e-2,LChiO.e-2,613.55,2300,A152,-39.01337221,-69.16542635,6,0,0,9,1,16
12991,PLU.Nq.FCh.x-1,FCh.x-1,443.17,3550,A152,-39.01632748,-69.0579589,1,2,0,9,0,7
12992,Pp.Nq.PON.x-1001,PoN.x-1001,376,1572,A080,-38.99041804,-68.7686835,4,0,0,9,0,22
12993,PLU.Nq.PoO-1005,PoO-1005,384,1234,A080,-39.01321002,-68.81569125,4,0,0,9,2,22
12994,YPF.Nq.EOr-159(h),EOr-159(h),999999,4500,A078,-37.98621571,-69.21298047,8,1,2,2,1,23
12995,YPF.Nq.LCav.c-36,LCav.c-36,999999,999999,A197,-38.30842852,-68.67468333,8,0,0,2,1,20
12996,YPF.Nq.LCav.s-35,LCav.s-35,999999,999999,A197,-38.30842978,-68.67508413,7,4,0,2,1,4
12997,PLU.Nq.LCa-3009(h),LCa-3009(h),419.37,2881.09,A098,-38.353952,-69.01437421,1,1,2,25,1,23
12998,YPF.Nq.EOr-114(h),EOr-114(h),999999,5318,A078,-38.02188147,-69.20031386,8,1,2,2,10,23
12999,YPF.Nq.BMo.a-14,BMo.a-14,588.4,3552,A253,-38.22866383,-68.49730616,4,0,0,17,2,22
