ID_ZZ,FIELD_NAME
368,El_Mogotito_
371,El_Molino
372,El_Molino_
373,El_Noveno
374,El_Orejano
375,El_Pedrero
377,El_Pirquinero
378,El_Portezuelo
379,El_Porton
381,El_Porvenir
384,El_Puente
385,El_Remanso
386,El_Salitral
388,El_Sauce
392,El_Sombrero_
393,El_Tobiano
394,El_Tobiano_
395,El_Tomillo
396,El_Trapial
400,El_Triangulo_
401,El_Viejo
402,Entre_Bardas
403,Entre_Lagos
404,Entre_Las_Esperanzas
405,Entre_Lomas
408,Entre_Piedras
409,Estacion_Challaco
410,Estacion_Ramon_Castro
413,Estacion_Ramon_Castro_x
414,Este_Barda_Negra
415,Este_Loma_Negra
416,Estructura_Intermedia_Norte_c
417,Estructura_Intermedia_Norte_b
419,Estructura_Intermedia_Norte_a
420,Estructural_
421,Estructural_Cutral
422,Estructural_Cutral_Co
423,Estructural_Intermedia_c
424,Estructural_Intermedia_b
425,Estructural_Intermedia_a
426,Faldeo_Amarillo
427,Faldeo_Amarillo_a
428,Filo_Morado
429,Filomena
430,Flanco_del_Tril
431,Fondo_de_La_Legua
433,Fortin_de_Piedra
435,Fortin_Nogueira
436,Fosa_de_Challaco
437,Guadal_Bonito
439,Guanaco
448,Horqueta_Centro
449,Horqueta_Norte
450,Horqueta_Sur_es
451,Huacalera
452,Huantraico
453,Huella_Perdida
454,Huella_Perdida_Este
455,Huelle_Trapial_
456,Huemalen_Calel
457,Huincul
463,Jaguel_de_los_Rosauros
464,Jaguel_Norte
465,La_Amarga_Chica
466,La_Antena
467,La_Banda_Norte
468,La_Banda_Sur
469,La_Banda_Sur_
470,La_Barda
471,La_Bifurcada
472,La_Bifurcada_
473,La_Calera
477,La_Caverna
478,La_Chilca
479,La_Chilca_
480,La_Chilca_e
481,La_Chilca_Oeste
482,La_Chilca_Oeste_
483,La_Costa
484,La_Curva
485,La_Dolina
486,La_Escalonada
487,La_Escondida
488,La_Esperanza
491,La_Esquina
492,La_Flecha
493,La_Franja
494,La_Hoya
495,La_Invernada
496,La_Mara
497,La_Mara_Este
498,La_Mara_Sur
499,La_Ollada
500,La_Ollada_
501,La_Ollada_e
502,La_Peninsula
503,La_Porfia
504,La_Puntilla
505,La_Ramada
506,La_Rebelde
507,La_Recta
508,La_Ribera
509,La_Ruta
510,La_Salada_Chica
511,La_Senal_
512,La_Soledad
513,La_Terraza
514,La_Tricahuera
515,La_Tropilla
516,La_Via
517,Laguna_Blanca
518,Laguna_Salada
519,Laja
520,Las_Carceles
521,Las_Chivas
523,Las_Coloradas_
524,Las_Copas
525,Las_Cuevas
526,Las_Manadas
527,Las_Manadas_
528,Las_Tacanas
530,Lindero_Atravesado
533,Loma_Amarilla
534,Loma_Ancha
535,Loma_Campana
536,Loma_Colorada_
537,Loma_de_La_Chiva
538,Loma_del_Barril
539,Loma_del_Coiron
540,Loma_del_Guanaco
541,Loma_del_Melon
542,Loma_del_Mojon
543,Loma_del_Molle
544,Loma_del_Olivo
545,Loma_del_Picun
546,Loma_del_Sueno
547,Loma_Farias
548,Loma_Farias_Oeste
549,Loma_Jarillosa
552,Loma_La_Lata
553,Loma_Las_Brujas
554,Loma_Las_Yeguas
556,Loma_Montosa
557,Loma_Morada
558,Loma_Negra
563,Loma_Partida
564,Loma_Pedregosa
569,Loma_Potrillo
573,Loma_Ranqueles
576,Lomas_de_Ocampo
578,Lomas_del_Coiron
579,Lomita
580,Los_Alamos
581,Los_Alamos_
583,Los_Bastos
585,Los_Candeleros
586,Los_Carrizos
587,Los_Cerros_Colorados
588,Los_Esquineros
589,Los_Esquineros_Sur
590,Los_Filones
591,Los_Guanaco
592,Los_Gusanos
593,Los_Leones_
596,Los_Toldos
600,Los_Vertices
601,Mafalda
602,Mallin_del_Negro
603,Mangrullo
607,Mari_Menuco
608,Mata_Mora
610,Matansilla
611,Medano_de_La_Amenaza
612,Medano_de_La_Mora
615,Medano_dEl_Sauce
616,Mellao
617,Meseta_Barrosa
618,Meseta_Buena_Esperanza
621,Meseta_Verde
622,Mesillas_Overas
623,Michay
624,Millaquea
625,Mina_California_
626,Mina_de_Cobre
629,Mina_El_Algarrobo
630,Mina_Fortuna
631,Mina_Fortuna_
632,Mina_Fortuna_a
633,Mina_Neva_
634,Mina_Tora_
635,Mirador_de_Barrosa
636,Molino_Cortadera
637,Monte_Negro
638,Morro_Partido
639,Narambuena
640,Neuquen_del_Medio
645,NH
646,Norte_Baguales
652,Norte_de_Arroyito_
653,Norte_del_Octogono
654,Norte_Espinosa
657,Notro
658,Nudo_Chaucun
659,Octogono
660,Octogono_Fiscal_
661,Oeste_Barda_Negra
662,Oeste_Sierra_Negra
663,Ojo_de_Agua
665,Pampa_de_Las_Liebres
666,Pampa_de_Las_Yeguas
669,Pampa_del_Chancho
670,Pampa_del_Naunauco
671,Pampa_del_Salado
672,Pampa_del_Sapo
673,Pampa_del_Tino
674,Pampa_Tril
676,Parva_Negra
679,Paso_Aguerre
680,Paso_de_Las_Bardas
681,Paso_de_Los_Indios
683,Paso_del_Carro_Quebrado
684,Paso_Hacha
685,Pata_Mora
686,Pavon
687,Pavon_Oeste
688,Peninsula_Chocon
689,Picada_Agua_Afuera
690,Pichi_Mula
691,Pichi_Naunauco
692,Pico_de_Aguila
693,Pico_del_Aguila
694,Picun_Leufu_Sur
695,Piedra_Chenque
696,Piedra_Chenque_
697,Piedras_Negras
698,Pillantoqui
699,Pilmatue
700,Piloto_Shale_Gas
