INDEX,AREA_NAME,OBJECTID,SURFACE_AREA,PERIMETER,OPERATOR_INDEX3,CONTRACT_INDEX2
174,PAMPA DE LAS YEGUAS I ,229.00000000,58.955750060000000,35.968678870000000,6,3
175,PAMPA DE LAS YEGUAS II BLOQUE I,291.00000000,24.374547640000000,54.095899430000000,24,7
176,PAMPA DE LAS YEGUAS II BLOQUE II,291.00000000,40.428704860000000,54.095899430000000,24,7
177,PAMPA DE LAS YEGUAS II NORESTE ,291.00000000,51.655292810000000,54.095899430000000,7,10
178,PAMPA TRILL ,337.00000000,117.323173470000000,46.664868590000000,7,10
179,PARVA NEGRA ESTE ,228.00000000,285.270577040000000,110.069929230000000,14,6
180,PARVA NEGRA OESTE ,228.00000000,143.429413470000000,110.069929230000000,2,7
181,PASO AGUERRE ,286.00000000,111.305139750000000,63.102640330000000,9,1
182,PASO DE LAS BARDAS NORTE ,331.00000000,16.259987880000000,18.407417520000000,27,1
183,PICUN LEUFU BLOQUE II ,307.00000000,51.391654810000000,35.741645350000000,7,10
184,PORTEZUELO MINAS ,178.00000000,169.717896560000000,58.796508920000000,13,1
185,PUESTO CORTADERA ,177.00000000,169.456820560000000,58.314265960000000,13,1
186,PUESTO HERNANDEZ ,304.00000000,121.353066190000000,50.161447430000000,27,1
187,PUESTO ROA ,201.00000000,44.044068430000000,37.234502050000000,7,10
188,PUESTO TOUQUET ,176.00000000,138.246469370000000,51.788258160000000,8,1
189,PUNTA SENILLOSA ,240.00000000,24.389840350000000,81.875018260000000,23,3
190,RAMOS MEXIA ,341.00000000,39.118007030000000,36.078162840000000,7,10
191,REVERSION CERRO ARENA ,277.00000000,248.567151250000000,192.512628990000000,27,9
192,REVERSION CERRO LAS MINAS ,231.00000000,73.699925010000000,57.752000030000000,27,9
193,REVERSION CHIHUIDO I ,235.00000000,912.683582600000000,142.963186480000000,7,10
194,REVERSION COVUNCO NORTE - RIM 10 ,234.00000000,26.481816790000000,0.000000000000000,7,9
195,REVERSION CUTRAL CO ,316.00000000,8.666959020000000,26.115244040000000,7,9
196,REVERSION EL CORTE ,232.00000000,163.301799030000000,77.399500000000000,7,9
197,REVERSION LAS TACANAS ,207.00000000,88.120777940000000,152.990530510000000,27,9
198,REVERSION LOMA DEL MOLLE ,230.00000000,55.650889400000000,85.324534720000000,27,9
199,REVERSION RIO NEUQUEN ,289.00000000,111.151333160000000,75.842096090000000,7,9
200,RINCON DE ARANDA ,238.00000000,240.384158180000000,72.769217230000000,14,1
201,RINCON DEL AGUILA ,187.00000000,234.106600370000000,369.024889740000000,7,10
202,RINCON DEL MANGRULLO ,175.00000000,182.874467680000000,68.470925510000000,27,3
203,RINCON LA CENIZA ,273.00000000,221.261555810000000,71.835873490000000,24,3
204,RIO BARRANCAS CENTRO ,212.00000000,1477.272246320000000,94.092010100000000,7,10
205,RIO BARRANCAS NORTE ,212.00000000,1409.057763290000000,94.092010100000000,7,10
206,RIO BARRANCAS SUR ,212.00000000,1633.967779720000000,94.092010100000000,7,10
207,RIO LIMAY ESTE ,202.00000000,12.798472890000000,117.651275940000000,14,5
208,RIO NEUQUEN ,290.00000000,232.938229250000000,106.097262790000000,27,3
209,SALINAS DEL HUITRIN ,329.00000000,151.723213340000000,110.821520990000000,27,7
210,SALINAS DEL HUITRIN SUR ,329.00000000,250.111218500000000,110.821520990000000,7,10
211,SAN ROQUE ,272.00000000,1041.750145300000000,154.354633010000000,24,1
212,SANTO DOMINGO I ,207.00000000,112.172996980000000,152.990530510000000,17,7
213,SANTO DOMINGO II ,292.00000000,140.107709430000000,71.698921790000000,7,10
214,SANTO TOMAS ,250.00000000,300.398774210000000,166.298236150000000,7,10
215,SE?AL CERRO BAYO ,288.00000000,71.989466750000000,33.998003310000000,27,1
216,SE?AL PICADA - PUNTA BARDA ,225.00000000,370.754712700000000,81.860946300000000,27,1
217,SE?AL ROCOSA ,264.00000000,121.015723750000000,71.720732210000000,7,10
218,SENILLOSA ,202.00000000,369.482032370000000,117.651275940000000,27,9
219,SIERRA CHATA ,303.00000000,867.077922200000000,126.034628240000000,14,3
220,SIERRAS BLANCAS ,344.00000000,168.354944300000000,68.078228590000000,22,3
221,TAQUIMILAN ,336.00000000,455.071924120000000,86.569004670000000,7,10
222,TOTORAL ,281.00000000,807.907121610000000,207.027850620000000,7,10
223,UMBRAL ,268.00000000,18.388024600000000,17.701485380000000,18,1
224,VETA ESCONDIDA ,323.00000000,165.535468720000000,51.674691420000000,14,1
225,VOLCAN AUCA MAHUIDA ,346.00000000,256.732791620000000,83.687222790000000,27,1
226,YERBA BUENA ,261.00000000,1177.900307360000000,180.363298540000000,7,10
