DEPTH_m,LATITUDE,LONGITUDE,FM_ID
773,-38.88291851,-69.08814764,7
820,-38.88307254,-69.09005186,7
889,-38.88077291,-69.0909441,7
790,-38.88352776,-69.09020873,7
736,-38.88418363,-69.08939963,7
793,-38.8843827,-69.090494,7
780,-38.88482679,-69.09067929,7
871,-38.88310423,-69.09214064,7
835,-38.88374901,-69.09133154,7
850,-38.88398137,-69.09242595,7
928,-38.8829697,-69.09371767,7
861,-38.88455775,-69.09384764,7
823,-38.88486962,-69.0927113,7
1050,-38.88572453,-69.09302502,7
754,-38.88581457,-69.09151891,7
270,-38.88426586,-69.09766958,7
617,-38.89383842,-69.09575029,7
693,-38.89290673,-69.09659896,7
760,-38.89345024,-69.09771436,7
645,-38.89488809,-69.09707539,7
553,-38.89529801,-69.09514613,7
518,-38.89643619,-69.09476447,7
609,-38.89640205,-69.09656886,7
730,-38.89655893,-69.09777436,7
756,-38.89595398,-69.09852595,7
729,-38.89679759,-69.09883366,7
823,-38.89442369,-69.09901847,7
579,-38.89726746,-69.09686961,7
547,-38.89760481,-69.09709999,7
550,-38.89808928,-69.09720515,7
500,-38.89878687,-69.09634217,7
502,-38.89901461,-69.09745723,7
605,-38.89837693,-69.09827848,7
594,-38.89924778,-69.0985723,7
638,-38.89947549,-69.09969434,7
642,-38.89861554,-69.09939356,7
668,-38.89767388,-69.09914143,7
622,-38.89750064,-69.09797769,7
456,-38.89965772,-69.09664991,7
516,-38.89988546,-69.09775802,7
768,-38.89939797,-69.10121309,7
771,-38.89796697,-69.10020083,7
784,-38.89709612,-69.09990699,7
932,-38.89583162,-69.10153547,7
900,-38.89668613,-69.10183627,7
793,-38.89639307,-69.10074901,7
953,-38.89605932,-69.10264353,7
958,-38.89691926,-69.10294435,7
968,-38.89517758,-69.10235662,7
918,-38.8949608,-69.10121376,7
833,-38.8947222,-69.10010571,7
901,-38.89830802,-69.10243776,7
1198,-38.89968859,-69.10503156,7
863,-38.90081262,-69.10222537,7
671,-38.90029185,-69.10005082,7
552,-38.90011318,-69.0988731,7
964,-38.9018836,-69.10399664,7
1045,-38.9024326,-69.09874393,7
456,-38.89532868,-69.08611142,7
1078,-38.89132487,-69.10338631,7
918,-38.8914732,-69.10004614,7
250,-38.8919709,-69.10104808,7
927,-38.89257992,-69.10144766,7
945,-38.89344522,-69.10175016,7
791,-38.89434518,-69.10201727,7
1003,-38.89455192,-69.10316061,7
921,-38.89408992,-69.10093589,7
860,-38.89384851,-69.09982795,7
861,-38.8929832,-69.09951662,7
923,-38.89321767,-69.10064225,7
996,-38.8923524,-69.10029547,7
908,-38.89194425,-69.09983415,7
812,-38.89200012,-69.09927602,7
797,-38.89187648,-69.0980974,7
2351,-38.89164891,-69.09697181,7
629,-38.9080624,-69.10988774,7
1383,-37.41250661,-69.36065379,9
1414,-37.41345968,-69.36564161,9
1397,-37.41611509,-69.36264046,9
1375,-37.41418653,-69.36179826,9
1450,-37.41611539,-69.36981208,9
1370,-37.41663583,-69.36721703,9
1414,-37.41761305,-69.36618415,9
1447,-37.41555509,-69.37253396,9
1381,-37.41667198,-69.37364771,9
1388,-37.41486872,-69.37593279,9
1377,-37.41551487,-69.37986767,9
1398,-37.41701857,-69.3779694,9
1381,-37.41307356,-69.38268575,9
1424,-37.41412464,-69.38322755,9
1783,-37.41795916,-69.38656474,9
1391,-37.41893644,-69.38035084,9
1363,-37.41871351,-69.37612142,9
1368,-37.41830017,-69.369724,9
1675,-37.41888998,-69.36654332,9
1575,-37.41674262,-69.36179644,9
1387,-37.41676644,-69.36137303,9
1343,-37.4181857,-69.36305986,9
1385,-37.4182353,-69.35413061,9
1380,-37.41871665,-69.35130931,9
1421,-37.41859401,-69.34516042,9
1261,-37.41607134,-69.34140774,9
1310,-37.41743818,-69.34185159,9
999999,-38.92047357,-69.09713083,7
999999,-38.92372964,-69.09514408,7
826,-38.92983696,-69.10556751,7
2665,-38.82548954,-68.466055,13
2700,-38.82105475,-68.44037668,13
2723,-38.82612886,-68.4438754,22
2706,-38.83022686,-68.42221852,22
1520,-37.40507097,-69.41935976,9
1477,-37.4082792,-69.41411932,9
1460,-37.40992914,-69.40667284,9
765,-37.41161914,-69.41460644,7
1508,-37.41073189,-69.40767322,9
1396,-37.41078102,-69.40357215,9
1406,-37.41090459,-69.40159538,9
1450,-37.41164285,-69.39749793,9
1368,-37.40961393,-69.39627147,9
1427,-37.41083679,-69.39396359,9
1355,-37.40943746,-69.38960599,9
1355,-37.40904786,-69.38727505,9
1716,-37.41073307,-69.38644881,9
1480,-37.4118593,-69.38862248,9
1448,-37.41178181,-69.39086319,9
1758,-37.41256752,-69.39351856,9
1757,-37.41359871,-69.38908556,9
1474,-37.41278081,-69.38552185,9
1832,-37.41458212,-69.40246461,7
730,-37.41800284,-69.40667255,7
1445,-37.41480571,-69.39155273,9
1500,-37.41580885,-69.39557168,9
1500,-37.41589005,-69.39574789,7
1403,-37.4088729,-69.38359768,9
1480,-37.41063455,-69.38441228,9
1489,-37.4105754,-69.38102838,9
1399,-37.41095893,-69.37802755,9
1423,-37.41235419,-69.38015851,9
1337,-37.40994733,-69.37648448,9
1350,-37.40920938,-69.37706668,9
1355,-37.40736459,-69.38030907,9
